
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
641.464,,Spot,2,Image 1,2,55681,
593.798,,Spot,2,Image 1,2,55682,
617.694,,Spot,2,Image 1,2,55683,
739.732,,Spot,2,Image 1,2,55684,
617.465,,Spot,2,Image 1,2,55685,
731.037,,Spot,2,Image 1,2,55686,
586.37,,Spot,2,Image 1,2,55687,
404.95,,Spot,2,Image 1,2,55688,
643.425,,Spot,2,Image 1,2,55689,
465.073,,Spot,2,Image 1,2,55690,
529.818,,Spot,2,Image 1,2,55691,
509.865,,Spot,2,Image 1,2,55692,
588.283,,Spot,2,Image 1,2,55693,
469.455,,Spot,2,Image 1,2,55694,
775.362,,Spot,2,Image 1,2,55695,
623.118,,Spot,2,Image 1,2,55696,
530.064,,Spot,2,Image 1,2,55697,
514.036,,Spot,2,Image 1,2,55698,
616.305,,Spot,2,Image 1,2,55699,
602.233,,Spot,2,Image 1,2,55700,
565.241,,Spot,2,Image 1,2,55701,
541.336,,Spot,2,Image 1,2,55702,
483.787,,Spot,2,Image 1,2,55703,
627.162,,Spot,2,Image 1,2,55704,
580.535,,Spot,2,Image 1,2,55705,
612.898,,Spot,2,Image 1,2,55706,
585.794,,Spot,2,Image 1,2,55707,
582.157,,Spot,2,Image 1,2,55708,
605.677,,Spot,2,Image 1,2,55709,
552.435,,Spot,2,Image 1,2,55710,
610.745,,Spot,2,Image 1,2,55711,
474.849,,Spot,2,Image 1,2,55712,
479.935,,Spot,2,Image 1,2,55713,
556.418,,Spot,2,Image 1,2,55714,
601.589,,Spot,2,Image 1,2,55715,
670.711,,Spot,2,Image 1,2,55716,
640.025,,Spot,2,Image 1,2,55717,
694.628,,Spot,2,Image 1,2,55718,
702.225,,Spot,2,Image 1,2,55719,
544.434,,Spot,2,Image 1,2,55720,
611.593,,Spot,2,Image 1,2,55721,
612.488,,Spot,2,Image 1,2,55722,
651.17,,Spot,2,Image 1,2,55723,
519.928,,Spot,2,Image 1,2,55724,
684.725,,Spot,2,Image 1,2,55725,
573.52,,Spot,2,Image 1,2,55726,
607.758,,Spot,2,Image 1,2,55727,
685.128,,Spot,2,Image 1,2,55728,
654.779,,Spot,2,Image 1,2,55729,
566.608,,Spot,2,Image 1,2,55730,
632.349,,Spot,2,Image 1,2,55731,
618.693,,Spot,2,Image 1,2,55732,
585.614,,Spot,2,Image 1,2,55733,
677.563,,Spot,2,Image 1,2,55734,
613.27,,Spot,2,Image 1,2,55735,
595.914,,Spot,2,Image 1,2,55736,
609.995,,Spot,2,Image 1,2,55737,
658.019,,Spot,2,Image 1,2,55738,
781.441,,Spot,2,Image 1,2,55739,
567.149,,Spot,2,Image 1,2,55740,
555.884,,Spot,2,Image 1,2,55741,
587.147,,Spot,2,Image 1,2,55742,
503.065,,Spot,2,Image 1,2,55743,
549.343,,Spot,2,Image 1,2,55744,
588.097,,Spot,2,Image 1,2,55745,
603.947,,Spot,2,Image 1,2,55746,
598.194,,Spot,2,Image 1,2,55747,
535.498,,Spot,2,Image 1,2,55748,
551.536,,Spot,2,Image 1,2,55749,
611.516,,Spot,2,Image 1,2,55750,
674.052,,Spot,2,Image 1,2,55751,
552.411,,Spot,2,Image 1,2,55752,
432.66,,Spot,2,Image 1,2,55753,
658.045,,Spot,2,Image 1,2,55754,
650.718,,Spot,2,Image 1,2,55755,
817.753,,Spot,2,Image 1,2,55756,
613.731,,Spot,2,Image 1,2,55757,
666.047,,Spot,2,Image 1,2,55758,
644.132,,Spot,2,Image 1,2,55759,
679.033,,Spot,2,Image 1,2,55760,
663.172,,Spot,2,Image 1,2,55761,
603.478,,Spot,2,Image 1,2,55762,
590.152,,Spot,2,Image 1,2,55763,
517.83,,Spot,2,Image 1,2,55764,
648.023,,Spot,2,Image 1,2,55765,
654.212,,Spot,2,Image 1,2,55766,
525.833,,Spot,2,Image 1,2,55767,
537.849,,Spot,2,Image 1,2,55768,
553.02,,Spot,2,Image 1,2,55769,
565.22,,Spot,2,Image 1,2,55770,
599.304,,Spot,2,Image 1,2,55771,
645.924,,Spot,2,Image 1,2,55772,
608.903,,Spot,2,Image 1,2,55773,
599.698,,Spot,2,Image 1,2,55774,
598.474,,Spot,2,Image 1,2,55775,
657.663,,Spot,2,Image 1,2,55776,
573.591,,Spot,2,Image 1,2,55777,
628.849,,Spot,2,Image 1,2,55778,
588.348,,Spot,2,Image 1,2,55779,
647.047,,Spot,2,Image 1,2,55780,
668.974,,Spot,2,Image 1,2,55781,
620.075,,Spot,2,Image 1,2,55782,
531.768,,Spot,2,Image 1,2,55783,
606.011,,Spot,2,Image 1,2,55784,
555.164,,Spot,2,Image 1,2,55785,
578.45,,Spot,2,Image 1,2,55786,
576.117,,Spot,2,Image 1,2,55787,
573.03,,Spot,2,Image 1,2,55788,
630.901,,Spot,2,Image 1,2,55789,
554.329,,Spot,2,Image 1,2,55790,
565.362,,Spot,2,Image 1,2,55791,
656.463,,Spot,2,Image 1,2,55792,
1005.86,,Spot,2,Image 1,2,55793,
