
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
103.604,um,Spot,Distance from Origin,2,53266,
93.3493,um,Spot,Distance from Origin,2,53267,
115.649,um,Spot,Distance from Origin,2,53268,
110.8,um,Spot,Distance from Origin,2,53269,
91.3489,um,Spot,Distance from Origin,2,53270,
85.8598,um,Spot,Distance from Origin,2,53271,
102.434,um,Spot,Distance from Origin,2,53272,
98.7425,um,Spot,Distance from Origin,2,53273,
98.5501,um,Spot,Distance from Origin,2,53274,
98.891,um,Spot,Distance from Origin,2,53275,
126.666,um,Spot,Distance from Origin,2,53276,
119.354,um,Spot,Distance from Origin,2,53277,
123.31,um,Spot,Distance from Origin,2,53278,
134.408,um,Spot,Distance from Origin,2,53279,
114.58,um,Spot,Distance from Origin,2,53280,
104.978,um,Spot,Distance from Origin,2,53281,
130.085,um,Spot,Distance from Origin,2,53282,
111.302,um,Spot,Distance from Origin,2,53283,
117.871,um,Spot,Distance from Origin,2,53284,
118.84,um,Spot,Distance from Origin,2,53285,
123.051,um,Spot,Distance from Origin,2,53286,
95.3494,um,Spot,Distance from Origin,2,53287,
95.2481,um,Spot,Distance from Origin,2,53288,
82.784,um,Spot,Distance from Origin,2,53289,
89.3783,um,Spot,Distance from Origin,2,53290,
86.4699,um,Spot,Distance from Origin,2,53291,
90.6687,um,Spot,Distance from Origin,2,53292,
97.7335,um,Spot,Distance from Origin,2,53293,
110.215,um,Spot,Distance from Origin,2,53294,
110.058,um,Spot,Distance from Origin,2,53295,
107.172,um,Spot,Distance from Origin,2,53296,
100.642,um,Spot,Distance from Origin,2,53297,
103.281,um,Spot,Distance from Origin,2,53298,
96.0121,um,Spot,Distance from Origin,2,53299,
107.2,um,Spot,Distance from Origin,2,53300,
105.572,um,Spot,Distance from Origin,2,53301,
119.811,um,Spot,Distance from Origin,2,53302,
107.7,um,Spot,Distance from Origin,2,53303,
121.736,um,Spot,Distance from Origin,2,53304,
112.846,um,Spot,Distance from Origin,2,53305,
107.061,um,Spot,Distance from Origin,2,53306,
120.854,um,Spot,Distance from Origin,2,53307,
131.641,um,Spot,Distance from Origin,2,53308,
114.757,um,Spot,Distance from Origin,2,53309,
113.81,um,Spot,Distance from Origin,2,53310,
125.468,um,Spot,Distance from Origin,2,53311,
127.055,um,Spot,Distance from Origin,2,53312,
132.638,um,Spot,Distance from Origin,2,53313,
144.063,um,Spot,Distance from Origin,2,53314,
143.613,um,Spot,Distance from Origin,2,53315,
136.104,um,Spot,Distance from Origin,2,53316,
133.931,um,Spot,Distance from Origin,2,53317,
140.253,um,Spot,Distance from Origin,2,53318,
144.255,um,Spot,Distance from Origin,2,53319,
137.718,um,Spot,Distance from Origin,2,53320,
132.294,um,Spot,Distance from Origin,2,53321,
151.821,um,Spot,Distance from Origin,2,53322,
134.982,um,Spot,Distance from Origin,2,53323,
140.187,um,Spot,Distance from Origin,2,53324,
71.473,um,Spot,Distance from Origin,2,53325,
54.4286,um,Spot,Distance from Origin,2,53326,
69.7757,um,Spot,Distance from Origin,2,53327,
84.2551,um,Spot,Distance from Origin,2,53328,
95.0811,um,Spot,Distance from Origin,2,53329,
107.595,um,Spot,Distance from Origin,2,53330,
123.393,um,Spot,Distance from Origin,2,53331,
72.9557,um,Spot,Distance from Origin,2,53332,
71.789,um,Spot,Distance from Origin,2,53333,
82.2068,um,Spot,Distance from Origin,2,53334,
85.9685,um,Spot,Distance from Origin,2,53335,
68.7327,um,Spot,Distance from Origin,2,53336,
84.516,um,Spot,Distance from Origin,2,53337,
88.568,um,Spot,Distance from Origin,2,53338,
76.7214,um,Spot,Distance from Origin,2,53339,
77.2536,um,Spot,Distance from Origin,2,53340,
71.9854,um,Spot,Distance from Origin,2,53341,
77.5463,um,Spot,Distance from Origin,2,53342,
88.5034,um,Spot,Distance from Origin,2,53343,
73.8277,um,Spot,Distance from Origin,2,53344,
84.3752,um,Spot,Distance from Origin,2,53345,
92.8008,um,Spot,Distance from Origin,2,53346,
114.948,um,Spot,Distance from Origin,2,53347,
100.921,um,Spot,Distance from Origin,2,53348,
105.564,um,Spot,Distance from Origin,2,53349,
92.9869,um,Spot,Distance from Origin,2,53350,
98.7547,um,Spot,Distance from Origin,2,53351,
90.0474,um,Spot,Distance from Origin,2,53352,
115.824,um,Spot,Distance from Origin,2,53353,
127.2,um,Spot,Distance from Origin,2,53354,
124.469,um,Spot,Distance from Origin,2,53355,
116.686,um,Spot,Distance from Origin,2,53356,
130.15,um,Spot,Distance from Origin,2,53357,
130.516,um,Spot,Distance from Origin,2,53358,
135.252,um,Spot,Distance from Origin,2,53359,
125.102,um,Spot,Distance from Origin,2,53360,
120.073,um,Spot,Distance from Origin,2,53361,
135.922,um,Spot,Distance from Origin,2,53362,
113.801,um,Spot,Distance from Origin,2,53363,
96.0929,um,Spot,Distance from Origin,2,53364,
98.9946,um,Spot,Distance from Origin,2,53365,
106.316,um,Spot,Distance from Origin,2,53366,
91.6328,um,Spot,Distance from Origin,2,53367,
97.8954,um,Spot,Distance from Origin,2,53368,
104.593,um,Spot,Distance from Origin,2,53369,
107.097,um,Spot,Distance from Origin,2,53370,
116.627,um,Spot,Distance from Origin,2,53371,
125.527,um,Spot,Distance from Origin,2,53372,
126.73,um,Spot,Distance from Origin,2,53373,
114.304,um,Spot,Distance from Origin,2,53374,
131.807,um,Spot,Distance from Origin,2,53375,
125.397,um,Spot,Distance from Origin,2,53376,
135.519,um,Spot,Distance from Origin,2,53377,
123.483,um,Spot,Distance from Origin,2,53378,
149.001,um,Spot,Distance from Origin,2,53379,
127.577,um,Spot,Distance from Origin,2,53380,
150.118,um,Spot,Distance from Origin,2,53381,
144.022,um,Spot,Distance from Origin,2,53382,
147.553,um,Spot,Distance from Origin,2,53383,
81.7444,um,Spot,Distance from Origin,2,53384,
83.191,um,Spot,Distance from Origin,2,53385,
120.609,um,Spot,Distance from Origin,2,53386,
106.693,um,Spot,Distance from Origin,2,53387,
112.667,um,Spot,Distance from Origin,2,53388,
123.338,um,Spot,Distance from Origin,2,53389,
62.3926,um,Spot,Distance from Origin,2,53390,
74.8841,um,Spot,Distance from Origin,2,53391,
82.9209,um,Spot,Distance from Origin,2,53392,
80.2625,um,Spot,Distance from Origin,2,53393,
